Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61025252,Oto ciało moje,Aleksandra Pakieła,"Pakieła, Aleksandra",,"=""8396481202""","=""9788396481207""",0,3.69,ArtRage,Paperback,140,2022,2022,,2022/08/11,"to-read, artrage-bookrage, owned, fiction","to-read (#2468), artrage-bookrage (#409), owned (#1132), fiction (#239)",to-read,,,,0,0
35442101,Po trochu,Weronika Gogola,"Gogola, Weronika",,"=""8365595516""","=""9788365595515""",0,3.78,Książkowe Klimaty,Paperback,180,2017,2017,,2022/08/11,"to-read, artrage-bookrage, reportaże-biografie, owned, non-fiction","to-read (#2467), artrage-bookrage (#408), reportaże-biografie (#148), owned (#1131), non-fiction (#503)",to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",0,4.38,Harriman House,Paperback,252,2020,2020,,2022/08/10,"to-read, business-economy-capitalism","to-read (#2466), business-economy-capitalism (#37)",to-read,,,,0,0
36041786,"You Need a Budget: The Proven System for Breaking the Paycheck to Paycheck Cycle, Getting Out of Debt, and Living the Life You Want",Jesse Mecham,"Mecham, Jesse",,"=""""","=""""",0,4.09,Harper Business,Kindle Edition,213,2017,2010,,2022/08/09,"business-economy-capitalism, growth-other-selfhelp, amazon, owned, currently-reading","business-economy-capitalism (#36), growth-other-selfhelp (#69), amazon (#129), owned (#1130), currently-reading (#14)",currently-reading,,,,1,0
61287917,Każda praca hańbi. Pozdrowienia z późnego kapitalizmu,Wiesławiec Deluxe,"Deluxe, Wiesławiec",,"=""""","=""9788324083701""",0,3.15,Znak literanova,Paperback,280,2022,2022,,2022/08/09,"to-read, business-economy-capitalism, non-fiction","to-read (#2465), business-economy-capitalism (#35), non-fiction (#502)",to-read,,,,0,0
60800707,Kapitalizm tłumaczony mojej wnuczce,Jean Ziegler,"Ziegler, Jean",Ewa Cylwik,"=""""","=""9788366615526""",0,4.00,Książka i Prasa,Paperback,114,2022,,,2022/08/09,"to-read, business-economy-capitalism","to-read (#2464), business-economy-capitalism (#34)",to-read,,,,0,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.72,O'Reilly,ebook,562,,2015,,2020/02/15,"owned, papier, currently-reading","owned (#1126), papier (#97), currently-reading (#13)",currently-reading,,,,1,0
651653,"The Macho Paradox: Why Some Men Hurt Women and How All Men Can Help (How to End Domestic Violence, Mental and Emotional Abuse, and Sexual Harassment)",Jackson Katz,"Katz, Jackson",,"=""1402204019""","=""9781402204012""",0,4.19,Sourcebooks,Paperback,304,2006,2006,,2020/11/16,"to-read, polecajki-z-fejsa, women-patriarchy","to-read (#1510), polecajki-z-fejsa (#51), women-patriarchy (#201)",to-read,,,,0,0
43671669,"The Meritocracy Trap: How America's Foundational Myth Feeds Inequality, Dismantles the Middle Class, and Devours the Elite",Daniel Markovits,"Markovits, Daniel",,"=""0735221995""","=""9780735221994""",0,3.83,Penguin Press,Hardcover,448,2019,2019,,2019/09/01,"to-read, non-fiction, publicystyka, usa","to-read (#589), non-fiction (#501), publicystyka (#78), usa (#35)",to-read,,,,0,0
60538099,Smutek i rozkosz,Meg Mason,"Mason, Meg",Mateusz Borowski,"=""8324074139""","=""9788324074136""",0,4.15,Społeczny Instytut Wydawniczy Znak,Paperback,384,2022,2020,,2022/04/24,"to-read, fiction, owned, woblink","to-read (#2337), fiction (#198), owned (#1129), woblink (#282)",to-read,,,,0,0
59574781,Consumed,Aja Barber,"Barber, Aja",,"=""1914240081""","=""9781914240089""",0,4.06,,Paperback,,2021,2021,,2022/07/30,"to-read, business-economy-capitalism, non-fiction","to-read (#2461), business-economy-capitalism (#33), non-fiction (#500)",to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",0,4.11,Orbit,Paperback,560,2018,2017,,2022/07/30,"to-read, fiction, science-fiction-fantasy","to-read (#2460), fiction (#237), science-fiction-fantasy (#74)",to-read,,,,0,0
60160266,Zwierzęta w Trzeciej Rzeszy,Jan Mohnhaupt,"Mohnhaupt, Jan",Monika Kilis,"=""""","=""9788367324090""",0,3.98,Poznańskie,Paperback,288,2022,2020,,2022/07/29,"to-read, historia, non-fiction","to-read (#2459), historia (#111), non-fiction (#499)",to-read,,,,0,0
25658482,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,"Bakewell, Sarah",,"=""0701186585""","=""9780701186586""",0,4.24,Chatto & Windus,Hardcover,440,2016,2016,,2022/07/29,"to-read, non-fiction, women-patriarchy","to-read (#2458), non-fiction (#498), women-patriarchy (#200)",to-read,,,,0,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098242""","=""9780593098240""",0,3.96,Ace Books,Paperback,609,2019,1976,,2022/07/28,"to-read, amazon, fiction, science-fiction-fantasy, owned","to-read (#2457), amazon (#128), fiction (#236), science-fiction-fantasy (#73), owned (#1128)",to-read,,,,0,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",0,3.89,Ace Books,Mass Market Paperback,337,2019,1969,,2022/07/28,"to-read, amazon, fiction, owned, science-fiction-fantasy","to-read (#2456), amazon (#127), fiction (#235), owned (#1127), science-fiction-fantasy (#72)",to-read,,,,0,0
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",0,4.27,Scribe,Paperback,936,2004,2003,,2018/01/03,"polecajki-z-fejsa, amazon, owned, currently-reading","polecajki-z-fejsa (#5), amazon (#39), owned (#316), currently-reading (#12)",currently-reading,,,,1,0
59973336,The End of the World is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,"Zeihan, Peter",,"=""""","=""""",0,4.26,Harper Business,Kindle Edition,512,2022,2022,,2022/07/26,"to-read, non-fiction, publicystyka, świat, business-economy-capitalism","to-read (#2455), non-fiction (#497), publicystyka (#77), świat (#20), business-economy-capitalism (#32)",to-read,,,,0,0
29767627,Reality is Not What it Seems: The Journey to Quantum Gravity,Carlo Rovelli,"Rovelli, Carlo",,"=""0241257964""","=""9780241257968""",0,4.33,Allen Lane,Hardcover,256,2016,2014,,2018/02/13,"to-read, woblink, owned, popularnonaukowe","to-read (#107), woblink (#5), owned (#1125), popularnonaukowe (#134)",to-read,,,,0,0
23301805,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""0008115273""","=""9780008115272""",0,4.41,Fourth Estate,Paperback,52,2014,2012,,2019/09/01,"to-read, women-patriarchy","to-read (#588), women-patriarchy (#199)",to-read,,,,0,0
